"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2010,1,"precipitacion","centro",686,0,0,103
2010,2,"precipitacion","centro",686,0,0,103
2010,3,"precipitacion","centro",686,0,0,103
2010,4,"precipitacion","centro",686,0,0,103
2010,5,"precipitacion","centro",686,0,0,103
2010,6,"precipitacion","centro",686,0,0,103
2010,7,"precipitacion","centro",686,0,0,103
2010,8,"precipitacion","centro",686,0,0,103
2010,9,"precipitacion","centro",686,0,0,103
2010,10,"precipitacion","centro",686,0,0,103
2010,11,"precipitacion","centro",686,0,0,103
2010,12,"precipitacion","centro",686,0,0,103
2010,13,"precipitacion","centro",686,0,0,103
2010,14,"precipitacion","centro",686,0,0,103
2010,15,"precipitacion","centro",686,0,0,103
2010,16,"precipitacion","centro",686,0,0,103
2010,17,"precipitacion","centro",686,0,0,103
2010,18,"precipitacion","centro",686,0,0,103
2010,19,"precipitacion","centro",686,0,0,103
2010,20,"precipitacion","centro",686,0,0,103
2010,21,"precipitacion","centro",686,0,0,103
2010,22,"precipitacion","centro",686,0,0,103
2010,23,"precipitacion","centro",686,0,0,103
2010,24,"precipitacion","centro",686,0,0,103
2010,25,"precipitacion","centro",686,0,0,103
2010,26,"precipitacion","centro",686,0,0,103
2010,27,"precipitacion","centro",686,0,0,103
2010,28,"precipitacion","centro",686,0,0,103
2010,29,"precipitacion","centro",686,0,0,103
2010,30,"precipitacion","centro",686,0,0,103
2010,31,"precipitacion","centro",686,0,0,103
2010,32,"precipitacion","centro",686,0,0,103
2010,33,"precipitacion","centro",686,0,0,103
2010,34,"precipitacion","centro",686,0,0,103
2010,35,"precipitacion","centro",686,0,0,103
2010,36,"precipitacion","centro",686,0,0,103
2010,37,"precipitacion","centro",686,0,0,103
2010,38,"precipitacion","centro",686,0,0,103
2010,39,"precipitacion","centro",686,0,0,103
2010,40,"precipitacion","centro",686,0,0,103
2010,41,"precipitacion","centro",686,0,0,103
2010,42,"precipitacion","centro",686,0,0,103
2010,43,"precipitacion","centro",686,0,0,103
2010,44,"precipitacion","centro",686,0,0,103
2010,45,"precipitacion","centro",686,0,0,103
2010,46,"precipitacion","centro",686,0,0,103
2010,47,"precipitacion","centro",686,0,0,103
2010,48,"precipitacion","centro",686,0,0,103
2010,49,"precipitacion","centro",686,0,0,103
2010,50,"precipitacion","centro",686,0,0,103
2010,51,"precipitacion","centro",686,0,0,103
2010,52,"precipitacion","centro",686,0,0,103
2010,1,"precipitacion","interseccion",787,0,2,0
2010,2,"precipitacion","interseccion",787,0,2,0
2010,3,"precipitacion","interseccion",787,0,2,0
2010,4,"precipitacion","interseccion",787,0,2,0
2010,5,"precipitacion","interseccion",787,0,2,0
2010,6,"precipitacion","interseccion",787,0,2,0
2010,7,"precipitacion","interseccion",787,0,2,0
2010,8,"precipitacion","interseccion",787,0,2,0
2010,9,"precipitacion","interseccion",787,0,2,0
2010,10,"precipitacion","interseccion",787,0,2,0
2010,11,"precipitacion","interseccion",787,0,2,0
2010,12,"precipitacion","interseccion",787,0,2,0
2010,13,"precipitacion","interseccion",787,0,2,0
2010,14,"precipitacion","interseccion",787,0,2,0
2010,15,"precipitacion","interseccion",787,0,2,0
2010,16,"precipitacion","interseccion",787,0,2,0
2010,17,"precipitacion","interseccion",787,0,2,0
2010,18,"precipitacion","interseccion",787,0,2,0
2010,19,"precipitacion","interseccion",787,0,2,0
2010,20,"precipitacion","interseccion",787,0,2,0
2010,21,"precipitacion","interseccion",787,0,2,0
2010,22,"precipitacion","interseccion",787,0,2,0
2010,23,"precipitacion","interseccion",787,0,2,0
2010,24,"precipitacion","interseccion",787,0,2,0
2010,25,"precipitacion","interseccion",787,0,2,0
2010,26,"precipitacion","interseccion",787,0,2,0
2010,27,"precipitacion","interseccion",787,0,2,0
