"criterio","variable","categoria","n"
"centro","precipitacion","Valido",686
"centro","precipitacion","NA_estructural",654
"centro","precipitacion","NA_interno_original",0
"centro","precipitacion","NA_control_calidad",0
"centro","precipitacion","Dato_fuera_Valle",103
"centro","temperatura","Valido",122
"centro","temperatura","NA_estructural",747
"centro","temperatura","NA_interno_original",564
"centro","temperatura","NA_control_calidad",0
"centro","temperatura","Dato_fuera_Valle",10
"centro","radiacion","Valido",27
"centro","radiacion","NA_estructural",753
"centro","radiacion","NA_interno_original",659
"centro","radiacion","NA_control_calidad",0
"centro","radiacion","Dato_fuera_Valle",4
"centro","altitud","Valido",686
"centro","altitud","NA_estructural",755
"centro","altitud","NA_interno_original",0
"centro","altitud","NA_control_calidad",0
"centro","altitud","Dato_fuera_Valle",2
"interseccion","precipitacion","Valido",787
"interseccion","precipitacion","NA_estructural",654
"interseccion","precipitacion","NA_interno_original",0
"interseccion","precipitacion","NA_control_calidad",2
"interseccion","precipitacion","Dato_fuera_Valle",0
"interseccion","temperatura","Valido",132
"interseccion","temperatura","NA_estructural",654
"interseccion","temperatura","NA_interno_original",657
"interseccion","temperatura","NA_control_calidad",0
"interseccion","temperatura","Dato_fuera_Valle",0
"interseccion","radiacion","Valido",31
"interseccion","radiacion","NA_estructural",654
"interseccion","radiacion","NA_interno_original",758
"interseccion","radiacion","NA_control_calidad",0
"interseccion","radiacion","Dato_fuera_Valle",0
"interseccion","altitud","Valido",688
"interseccion","altitud","NA_estructural",654
"interseccion","altitud","NA_interno_original",101
"interseccion","altitud","NA_control_calidad",0
"interseccion","altitud","Dato_fuera_Valle",0
