"variable_1","variable_2","correlacion","tipo"
"precipitacion_mm","precipitacion_mm",1,"pooled_espacio_tiempo"
"temperatura_vecino_c","precipitacion_mm",0.388813650362025,"pooled_espacio_tiempo"
"temperatura_bilineal_c","precipitacion_mm",0.452589249123783,"pooled_espacio_tiempo"
"radiacion_vecino_mj_m2_dia","precipitacion_mm",-0.178388226262824,"pooled_espacio_tiempo"
"radiacion_bilineal_mj_m2_dia","precipitacion_mm",-0.222379929395331,"pooled_espacio_tiempo"
"altitud_m","precipitacion_mm",-0.394044009933757,"pooled_espacio_tiempo"
"precipitacion_mm","temperatura_vecino_c",0.388813650362025,"pooled_espacio_tiempo"
"temperatura_vecino_c","temperatura_vecino_c",1,"pooled_espacio_tiempo"
"temperatura_bilineal_c","temperatura_vecino_c",0.898503007631197,"pooled_espacio_tiempo"
"radiacion_vecino_mj_m2_dia","temperatura_vecino_c",-0.0745226099133103,"pooled_espacio_tiempo"
"radiacion_bilineal_mj_m2_dia","temperatura_vecino_c",-0.0972361414968198,"pooled_espacio_tiempo"
"altitud_m","temperatura_vecino_c",-0.541369353863018,"pooled_espacio_tiempo"
"precipitacion_mm","temperatura_bilineal_c",0.452589249123783,"pooled_espacio_tiempo"
"temperatura_vecino_c","temperatura_bilineal_c",0.898503007631197,"pooled_espacio_tiempo"
"temperatura_bilineal_c","temperatura_bilineal_c",1,"pooled_espacio_tiempo"
"radiacion_vecino_mj_m2_dia","temperatura_bilineal_c",-0.0657004236584223,"pooled_espacio_tiempo"
"radiacion_bilineal_mj_m2_dia","temperatura_bilineal_c",-0.106793471382064,"pooled_espacio_tiempo"
"altitud_m","temperatura_bilineal_c",-0.658652329390425,"pooled_espacio_tiempo"
"precipitacion_mm","radiacion_vecino_mj_m2_dia",-0.178388226262824,"pooled_espacio_tiempo"
"temperatura_vecino_c","radiacion_vecino_mj_m2_dia",-0.0745226099133103,"pooled_espacio_tiempo"
"temperatura_bilineal_c","radiacion_vecino_mj_m2_dia",-0.0657004236584223,"pooled_espacio_tiempo"
"radiacion_vecino_mj_m2_dia","radiacion_vecino_mj_m2_dia",1,"pooled_espacio_tiempo"
"radiacion_bilineal_mj_m2_dia","radiacion_vecino_mj_m2_dia",0.909661572165826,"pooled_espacio_tiempo"
