"anio","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia"
2010,65.6840758674293,20.6047869596975,20.6027615195995,14.7883646481239,14.897796166534
2011,66.6729436855722,19.9725743372041,19.97826355411,15.1726297639255,15.2462579991738
2012,62.36951557406,20.1783251551187,20.1789698638732,15.2509544532003,15.3048876361158
2013,60.4422919949787,20.3721184627602,20.3709135803307,14.8975449044706,14.9678299371425
2014,50.0520049290396,20.5450525370166,20.5441734018441,15.2250332525157,15.2795045674983
2015,42.772552407608,21.0106347186278,21.0009133301126,15.5450957762497,15.5884164176358
2016,48.9843323545442,20.9023391279733,20.9020576632378,14.9046950524205,14.9748918606471
2017,46.5236456728494,20.430438067272,20.4406701440794,15.4528143005966,15.5233299066786
2018,44.4553283083975,20.4201537644443,20.4179665304989,15.4355038958404,15.4726454007249
2019,44.7242894575458,20.8065208116971,20.8033949343927,15.0338674154643,15.075048840749
2020,37.73746757844,20.8432694570878,20.8488546852895,15.405748278444,15.4651870639582
2021,51.8541484819142,20.5750214351777,20.57070753638,15.2345947507359,15.299076781382
2022,51.9064776694131,20.2350140768574,20.237856908961,14.6467838144324,14.7267068292721
2023,45.7941665563479,21.0969569848829,21.088133789868,15.358641477384,15.4155400571173
2024,43.4194402462479,21.4166452131562,21.4113764388595,15.2074644776518,15.2971434432526
2025,49.1345923926884,20.633986465277,20.6316523926492,14.9146358949717,14.9818358965373
