-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  3.525   longitude -76.525 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2112.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,ALLSKY_SFC_SW_DWN
2024,1,17.03,14.41
2024,2,17.7,16.7
2024,3,17.71,17.29
2024,4,17.6,16.8
2024,5,17.67,18.03
2024,6,16.94,18.75
2024,7,17.22,17.29
2024,8,17.46,18.37
2024,9,17.63,15.03
2024,10,17.11,15.11
2024,11,17.09,15.67
2024,12,17.02,12.39
2024,13,16.25,16.67
2024,14,17.93,17.62
2024,15,17.26,19.05
2024,16,16.97,15.6
2024,17,17.71,15.67
2024,18,18.22,16.51
2024,19,18.12,17.04
2024,20,18.0,12.04
2024,21,17.48,14.5
2024,22,17.89,18.24
2024,23,17.75,19.94
2024,24,17.64,19.95
2024,25,17.87,19.33
2024,26,17.79,17.67
2024,27,18.74,17.03
2024,28,18.63,16.07
2024,29,19.07,17.14
2024,30,18.38,15.66
2024,31,17.78,15.92
2024,32,18.51,16.06
2024,33,17.77,9.31
2024,34,17.14,14.85
2024,35,16.87,14.61
2024,36,16.54,11.41
2024,37,16.78,13.23
2024,38,17.9,17.74
2024,39,18.35,16.88
2024,40,18.9,15.53
2024,41,18.72,15.08
2024,42,18.1,15.66
2024,43,18.18,17.16
2024,44,18.28,15.94
2024,45,18.28,18.6
2024,46,18.29,17.5
2024,47,18.5,16.03
2024,48,18.23,16.41
2024,49,18.51,18.78
2024,50,18.69,15.47
2024,51,18.78,17.51
2024,52,15.77,12.79
2024,53,16.87,20.27
2024,54,17.82,21.91
2024,55,17.27,18.52
2024,56,16.9,18.46
2024,57,17.01,14.34
2024,58,17.31,17.32
2024,59,18.18,16.16
2024,60,17.81,14.21
2024,61,16.79,12.26
2024,62,16.57,14.91
2024,63,17.0,12.84
2024,64,16.98,16.05
2024,65,17.85,16.33
2024,66,18.5,15.1
2024,67,19.0,15.02
2024,68,18.62,12.97
2024,69,18.87,13.35
2024,70,19.27,15.04
2024,71,19.18,12.09
2024,72,18.97,16.89
2024,73,19.35,16.21
2024,74,19.36,14.48
2024,75,18.79,15.33
2024,76,19.33,16.49
2024,77,19.09,17.96
2024,78,18.75,17.17
2024,79,18.66,15.4
2024,80,18.32,15.05
2024,81,17.69,14.21
2024,82,17.66,15.95
2024,83,17.55,14.6
2024,84,18.16,16.94
2024,85,16.33,11.08
2024,86,16.79,15.47
2024,87,16.25,11.96
2024,88,17.21,19.08
2024,89,17.1,14.56
2024,90,18.19,15.19
2024,91,17.2,11.47
2024,92,17.6,13.46
2024,93,16.73,10.99
2024,94,17.22,12.28
2024,95,16.67,14.43
2024,96,17.03,16.04
2024,97,17.45,16.58
2024,98,18.0,17.1
2024,99,17.8,15.41
2024,100,17.81,18.0
2024,101,18.3,17.89
2024,102,18.3,19.22
2024,103,19.1,18.92
2024,104,18.66,16.53
