"variable","metodo","periodo","n","ME","MAE","RMSE","correlacion","diferencia_maxima"
"temperatura","near","semanas_01_52",6344,-0.0258644207428864,0.401104252996842,0.511751922348383,0.981483708818354,1.97183609008789
"temperatura","near","semanas_02_52",6222,-0.0153071054957067,0.396301891825966,0.505216316440847,0.98194887459073,1.57307624816895
"radiacion","near","semanas_01_52",1404,-0.0195874733123345,0.0195874733123345,0.141312440834048,0.995431474232635,1.03635025024414
"radiacion","near","semanas_02_52",1377,0,0,0,1,0
"temperatura","bilinear","semanas_01_52",6344,-0.00582418074974647,0.20126703287584,0.255881178257004,0.995427697266027,0.886777877807617
"temperatura","bilinear","semanas_02_52",6222,0.00478931624419587,0.194485748668684,0.244582697252057,0.995866973794712,0.595447540283203
"radiacion","bilinear","semanas_01_52",1404,-0.0326483562121704,0.131096988661676,0.2252188011871,0.988074328753451,1.41570091247559
"radiacion","bilinear","semanas_02_52",1377,-0.0115326865479491,0.111911684339602,0.164288412817571,0.993706692895306,0.973312377929688
"temperatura","cubicspline","semanas_01_52",6344,-0.00664661781484212,0.658255229832095,0.796916096743601,0.979553790619265,2.09554672241211
"temperatura","cubicspline","semanas_02_52",6222,0.00401429231815957,0.658077531518449,0.794100313440143,0.980069376231963,1.95316696166992
"radiacion","cubicspline","semanas_01_52",1404,-0.159208808529411,0.325166448229059,0.455807101552316,0.955506090556418,1.94986534118652
"radiacion","cubicspline","semanas_02_52",1377,-0.130403302593688,0.299615013659996,0.398350083863163,0.966094328703059,1.70683860778809
