"anio","semana","media","mediana","sd","minimo","maximo","n_validos","corte"
2020,2,0.0391324490916972,0,0.514855822994431,0,7.72464656829834,686,"2020_banda_02"
2017,51,0.428524362102542,0,2.88013651310715,0,23.6821022033691,686,"2017_banda_51"
2018,9,0.901586108235507,0,3.05607475675668,0,18.1606845855713,686,"2018_banda_09"
2019,4,1.19808513742842,0,4.25708156081317,0,45.8396606445312,686,"2019_banda_04"
2019,7,1.60187177338336,0,5.12063406667973,0,43.5501098632812,686,"2019_banda_07"
2015,1,1.72801265494121,0,4.80951697806228,0,25.5911598205566,686,"2015_banda_01"
2012,8,2.04547705177663,0,8.24802218623048,0,104.098022460938,686,"2012_banda_08"
2020,12,2.20805220214688,0,5.48062244787563,0,31.5545139312744,686,"2020_banda_12"
2016,5,2.60416987616536,0,9.71329775385412,0,57.3865394592285,686,"2016_banda_05"
2018,10,2.8273885416915,0,5.37346721086353,0,28.9764595031738,686,"2018_banda_10"
2016,3,2.99447957350283,0,7.00765781000574,0,34.485523223877,686,"2016_banda_03"
2025,3,3.24475348760366,0,7.58847339829493,0,42.1492004394531,686,"2025_banda_03"
2017,5,3.39280352708897,0,6.25417291234072,0,42.5685882568359,686,"2017_banda_05"
2017,8,3.51898093612827,0,9.2489383760476,0,52.1660766601562,686,"2017_banda_08"
2024,10,3.56573491958418,0,5.69614538204669,0,41.8698463439941,686,"2024_banda_10"
2022,3,3.83969030870293,0,7.62668702809863,0,53.036491394043,686,"2022_banda_03"
2022,11,3.96329463327591,0,6.42148376638848,0,36.7353706359863,686,"2022_banda_11"
2014,52,4.03935167254234,0,7.36213223877616,0,31.7719955444336,686,"2014_banda_52"
2010,2,4.30597518623397,0,13.4352837753029,0,80.8343658447266,686,"2010_banda_02"
2020,6,4.43859126512233,0,10.7475926140291,0,71.2052001953125,686,"2020_banda_06"
2020,14,5.50874712828645,0,9.63913417693361,0,48.8432464599609,686,"2020_banda_14"
2021,51,6.18243719676493,0,14.1707298567239,0,74.724739074707,686,"2021_banda_51"
2020,31,6.67105836597198,0,10.9526132754519,0,68.3384857177734,686,"2020_banda_31"
2018,6,6.68109609816582,0,9.60978031224598,0,56.3628120422363,686,"2018_banda_06"
2015,8,6.76314250755588,0,11.3279403825596,0,52.8792190551758,686,"2015_banda_08"
2024,49,8.18059521861396,0,16.8346344413211,0,104.532524108887,686,"2024_banda_49"
2011,4,8.34790285474705,0,22.0259402152153,0,137.679244995117,686,"2011_banda_04"
2023,5,8.49462094147073,0,14.5496126643757,0,112.561050415039,686,"2023_banda_05"
2017,31,8.66002315665125,3.48175120353699,13.7818890954993,0,81.6232223510742,686,"2017_banda_31"
2013,3,9.17470011314915,0,16.6608848621325,0,70.7537002563477,686,"2013_banda_03"
2014,1,9.25208453325767,0,17.4726390410053,0,99.6130752563477,686,"2014_banda_01"
2016,4,9.45596401684486,0,22.8177289641509,0,126.583404541016,686,"2016_banda_04"
