"variable","descripcion","rol"
"id_celda","Identificador estable 1-686 del centro dentro del Valle","clave"
"celda_raster","Número de celda en la plantilla raster 39x37","trazabilidad"
"x","Longitud del centro, WGS84","coordenada"
"y","Latitud del centro, WGS84","coordenada"
"altitud_m","Altitud SRTM remuestreada a la plantilla, metros","covariable"
"anio","Año calendario","tiempo"
"semana","Bloque semanal de 7 días desde el 1 de enero","tiempo"
"precipitacion_mm","Precipitación CHIRPS semanal acumulada, mm","respuesta"
"temperatura_vecino_c","T2M semanal NASA asignada por vecino, °C","alternativa"
"temperatura_bilineal_c","T2M semanal NASA remuestreada bilinealmente, °C","candidata_principal"
"radiacion_vecino_mj_m2_dia","Radiación semanal NASA por vecino, MJ/m²/día","alternativa"
"radiacion_bilineal_mj_m2_dia","Radiación semanal NASA bilineal, MJ/m²/día","alternativa"
