"anio","semana","precipitacion_mm","temperatura_vecino_c","temperatura_bilineal_c","radiacion_vecino_mj_m2_dia","radiacion_bilineal_mj_m2_dia","fecha"
2010,1,33.4319848110655,21.4552376291147,21.4075139382143,18.0581509587369,18.3833164793409,2010-01-01
2011,1,85.7404263707709,19.1061327631202,19.1355969996216,15.0108619361855,15.1469826086617,2011-01-01
2012,1,80.5426545219588,19.631988939669,19.6546475352073,13.5786920219399,13.7179551027259,2012-01-01
2013,1,16.2419394782959,20.6985608412295,20.6677468789215,16.1020174999626,16.319685701031,2013-01-01
2014,1,9.25208453325767,20.3820140424345,20.3744211739076,13.9872637420632,14.0973139017733,2014-01-01
2015,1,1.72801265494121,20.854529279314,20.7926808446211,18.6379570585646,18.9193553507502,2015-01-01
2016,1,59.3661525617883,21.9054478598058,21.8911110180112,14.2846563925896,14.3963821844874,2016-01-01
2017,1,71.4119978562736,20.2937359100876,20.2873903877881,14.1106102543044,14.2517199029728,2017-01-01
2018,1,54.8929074165077,19.6393020980212,19.6620687798925,15.5152438569694,15.6032900879751,2018-01-01
2019,1,71.5775989860557,21.3100954450602,21.2962742129846,16.8934341005264,17.1158670475462,2019-01-01
2020,1,16.1439569611591,20.6229573797554,20.6600324252604,17.6954222309346,17.850180395143,2020-01-01
2021,1,54.9064108442635,19.8083067051523,19.8318629070204,13.9660994318414,14.0319070009726,2021-01-01
2022,1,85.7344309456494,20.2359326129057,20.2409914172426,12.2173701486504,12.4857213031446,2022-01-01
2023,1,49.3405578828066,19.5615661609972,19.5786288125174,14.0228281118432,13.9928399341795,2023-01-01
2024,1,10.8893719497992,21.734044158424,21.7240364864338,17.19012728933,17.4131440310019,2024-01-01
2025,1,28.6656571206129,19.9218469152645,19.9312047416198,13.5781423941298,13.6755307158645,2025-01-01
2010,2,4.30597518623397,21.7698563806517,21.7450883214745,15.5376260343168,15.7804011964937,2010-01-08
2011,2,37.0344849619852,20.0043777196122,19.9822190607254,14.0060371240443,14.2656890630027,2011-01-08
2012,2,80.4589492947993,19.9076740303818,19.9134981945027,14.9025509628541,14.9974505129778,2012-01-08
2013,2,70.7712202517006,20.7586654490702,20.7547703011738,14.3440065356107,14.4797192704226,2013-01-08
2014,2,81.8305378710911,20.1197520720368,20.1034702879347,14.3222072173138,14.4519162122432,2014-01-08
2015,2,11.4577882105686,20.9871324450212,20.956257419753,14.5941880145504,14.8173024619634,2015-01-08
2016,2,110.751780273615,20.8780924544042,20.944607726339,14.1792627965744,14.2913791125439,2016-01-08
2017,2,47.0140479326943,19.9695629684293,19.9739649149836,12.8065845736957,12.8006379416663,2017-01-08
2018,2,64.0797170709938,19.3033759086542,19.3282784178375,14.9837214105678,15.0120381433137,2018-01-08
2019,2,21.5277693083961,19.8501959945301,19.8807364302543,15.4211182079927,15.3738026827487,2019-01-08
2020,2,0.0391324490916972,21.4200289395391,21.3778489171242,18.5493955361947,18.7707851565614,2020-01-08
2021,2,45.6461528960192,20.3231362045333,20.3100335702257,15.386231001195,15.4824870515495,2021-01-08
2022,2,29.3438065781885,19.8321179606824,19.8694510710135,15.328227789687,15.2665136784923,2022-01-08
2023,2,50.6529837745967,19.2622821560406,19.2750364795718,14.1477384678476,14.1289953337466,2023-01-08
2024,2,13.3381879517358,21.5847809266071,21.5864442013443,15.7627072556721,16.0379062004757,2024-01-08
2025,2,19.0230283552982,20.7222138313093,20.7211383702804,15.0476844526241,15.2458919589095,2025-01-08
2010,3,14.328843153948,22.4802182728626,22.4274060663607,16.0856622912793,16.3003459949883,2010-01-15
2011,3,54.662050279862,19.8767848445792,19.9037424454536,15.2156937588061,15.4818998147725,2011-01-15
2012,3,38.1057240900423,19.546924467337,19.5541166550216,15.1991168277952,15.1700511645993,2012-01-15
2013,3,9.17470011314915,20.4358164089414,20.456529144643,13.2797872123496,13.3845339085548,2013-01-15
2014,3,26.3698236511331,20.7953537838105,20.7759050363702,13.803163269866,13.9339647028954,2014-01-15
2015,3,77.0774758466826,19.6465116534219,19.687326222745,13.7106645837122,13.8132407171733,2015-01-15
2016,3,2.99447957350283,21.933742392515,21.9660585976203,16.2996589240805,16.5602540803025,2016-01-15
2017,3,54.4109390108648,19.6601542675808,19.6940209803011,15.3259703605585,15.1984209402657,2017-01-15
2018,3,23.4892829034488,19.5769387348053,19.5857745746134,14.5788067061421,14.5830611431911,2018-01-15
2019,3,17.9069393595176,21.2632571239861,21.2411120556534,14.132648726594,14.2046775901283,2019-01-15
2020,3,16.4167285707532,21.8348022939165,21.8048520880607,14.9873949264993,14.9372529135501,2020-01-15
2021,3,10.2057505404636,20.9495332651166,20.9517921609017,16.0749229578513,16.2704471429652,2021-01-15
2022,3,3.83969030870293,21.014622955211,21.0027939042962,15.4519511409126,15.4449021976126,2022-01-15
2023,3,75.0031518213255,19.5033649508529,19.4997181683866,14.332853092049,14.3636343750245,2023-01-15
2024,3,17.9662369089989,22.4492127387934,22.4151706250694,15.7077235814086,15.9436426371249,2024-01-15
2025,3,3.24475348760366,20.8085836349354,20.7977073046626,17.7417679833949,18.020810032725,2025-01-15
2010,4,27.3762788855995,21.0883405868931,21.095636851586,12.4584338922195,12.7409072297655,2010-01-22
2011,4,8.34790285474705,19.7511246058406,19.7631867314219,15.3508410884757,15.6210128948223,2011-01-22
2012,4,110.453472846451,19.2253480180012,19.2611498679781,14.8665702349938,14.8773951182908,2012-01-22
2013,4,45.4921448091724,21.0338340097544,21.0533411815632,13.6034940130161,13.7833158101007,2013-01-22
2014,4,55.9845335824149,20.4218968983642,20.4473496901398,14.5789921902359,14.6974549557655,2014-01-22
2015,4,48.9966851865585,19.8431216120372,19.8772828141037,14.854941445954,14.9025523975361,2015-01-22
2016,4,9.45596401684486,21.9937922447138,22.0024440198181,15.9430199114296,16.1937509959363,2016-01-22
2017,4,30.3785631265654,19.8954854192261,19.9301345397015,18.1004992643529,18.0345090137626,2017-01-22
2018,4,39.9693861535965,20.6293776125672,20.6088430707726,14.6720094819806,14.8547082155856,2018-01-22
2019,4,1.19808513742842,21.6569967269897,21.6460765666239,15.1188631474798,15.2478961916776,2019-01-22
2020,4,54.2453903665348,20.3418535644042,20.3994312105652,15.7382403643416,15.6745518525905,2020-01-22
2021,4,11.349934848335,20.8464723787224,20.8313533905296,15.3513828158031,15.3625720819301,2021-01-22
2022,4,18.7644765526491,20.2022866424249,20.2373855134836,13.8293272288131,13.8740156065271,2022-01-22
2023,4,38.2888201992991,20.0451250868706,20.0138835184081,16.5928301727807,16.7737956478019,2023-01-22
2024,4,11.9275349658363,22.7469011951814,22.7226399430033,17.8535691544891,18.2631836674304,2024-01-22
2025,4,23.163103105723,20.8747710069484,20.8398553581349,15.8566245295911,15.957771929638,2025-01-22
2010,5,97.5613004417531,22.9771263189288,22.9246673305945,16.6745337425098,16.8606022829217,2010-01-29
2011,5,67.8401295749509,20.1796312512879,20.1665230478559,15.6539691488527,15.7640932280538,2011-01-29
2012,5,36.4289746235828,19.6879822450199,19.710012321917,14.7894295964922,14.9224724477651,2012-01-29
2013,5,10.2195612133071,20.7103101908292,20.7239160120661,14.1553831628738,14.3070413600599,2013-01-29
2014,5,17.4537719971237,20.0603622180727,20.0932917859047,13.8827988149126,14.0446756768852,2014-01-29
2015,5,11.4193712368651,20.7406555459381,20.712090871772,15.0803309932742,15.0389214549051,2015-01-29
2016,5,2.60416987616536,21.3101453669912,21.3566387888294,15.7248537616897,15.949395835921,2016-01-29
2017,5,3.39280352708897,20.8516096109552,20.8538204615735,15.6318951820841,15.6708483695984,2017-01-29
2018,5,40.563270983126,21.1940065417276,21.2000417014253,14.668444278984,14.7327872045534,2018-01-29
2019,5,24.2463813731691,20.7587444789208,20.7821425779915,13.7071782701565,13.8396074612009,2019-01-29
2020,5,10.7945657902487,21.2058767229753,21.2267841555982,17.1561973018479,17.274210669904,2020-01-29
2021,5,27.9715044282963,21.4260996993707,21.3945356847246,16.5739186915295,16.7646741227575,2021-01-29
2022,5,36.315666592851,20.2899832600407,20.3330028995481,15.3281134057671,15.4416551923613,2022-01-29
2023,5,8.49462094147073,20.5206247126743,20.4863700352327,15.9594480581256,16.3210163533514,2023-01-29
2024,5,58.175037119896,22.0438088202963,22.0398429614809,14.920833023227,15.0040035623156,2024-01-29
2025,5,41.0781858959629,21.2532632065932,21.2398758490649,14.4275261514736,14.4682399051878,2025-01-29
2010,6,52.571539955306,21.3900395913305,21.4033519589171,13.0685341226116,13.2559446927062,2010-02-05
2011,6,34.7240146978951,19.6871137869254,19.7064800192941,13.0175094952041,13.1351129362256,2011-02-05
2012,6,17.862728775764,19.7111701033901,19.7132151064303,13.7681110982645,13.8541970642246,2012-02-05
2013,6,137.341966676295,19.5861495090296,19.6072894268759,12.5061993501624,12.529136730005,2013-02-05
2014,6,30.249809032974,20.3997083780717,20.4100976171021,15.567284183669,15.5239255880128,2014-02-05
2015,6,84.9354060370442,19.9205643220129,19.9368288593459,12.9464636446783,13.0509160086295,2015-02-05
2016,6,18.2712263657817,22.0820785833865,22.0687555001706,14.2090692728671,14.1832329594359,2016-02-05
2017,6,33.2849924731185,21.1500770135107,21.1476153521079,17.5903724011457,17.7816022005443,2017-02-05
2018,6,6.68109609816582,20.7459206567214,20.7698273617047,13.7504017624146,13.8061653671042,2018-02-05
2019,6,40.1997882346718,20.8778012056045,20.8676794319042,12.7643274399004,12.8417488979529,2019-02-05
2020,6,4.43859126512233,21.63335687287,21.6344337129732,18.7563200302791,19.0349053279999,2020-02-05
2021,6,31.7989678643535,21.152436414891,21.1480400708257,14.6922825307262,14.8012970877111,2021-02-05
2022,6,11.0393351921187,19.9204457216291,19.9533707838364,14.0679199466205,13.9894696366335,2022-02-05
2023,6,9.93751684395982,20.8744985452546,20.8458462762416,15.8081275520102,15.9207667984698,2023-02-05
2024,6,59.7427722719598,22.0173969936093,22.0032231383699,15.0573926124906,15.095989412191,2024-02-05
2025,6,83.2178032266155,20.2009077822849,20.2217036989618,12.8029526385204,12.7872837291862,2025-02-05
2010,7,49.1159076078988,21.8675405124186,21.8666135409831,15.2172242100663,15.3452705683583,2010-02-12
2011,7,66.2595307326525,19.6734317482039,19.696219025826,14.4189647988745,14.3915244288764,2011-02-12
2012,7,78.8872753482518,19.480834985961,19.5372604809419,17.8099538174732,17.9664053652794,2012-02-12
2013,7,18.4537541522229,19.7903808463072,19.7878200361402,14.2017157209858,14.191295330448,2013-02-12
2014,7,51.3756883220839,20.3796290100142,20.3944801297202,15.2900064248733,15.4195503840989,2014-02-12
2015,7,14.1156715147697,21.1532613709786,21.1288578433824,15.6836567272598,15.7570510230329,2015-02-12
2016,7,33.2585537068698,22.2762849657598,22.2644427635927,14.5215702918806,14.6009214431829,2016-02-12
2017,7,33.180440661511,20.5650562558855,20.5760841411335,19.7384255300805,19.6460804953172,2017-02-12
2018,7,54.1058358492726,20.4499706346162,20.4544722721111,14.4946521475433,14.4290101576825,2018-02-12
2019,7,1.60187177338336,21.2733236179407,21.2733458833166,15.6931547298376,15.8672641692982,2019-02-12
2020,7,9.49650298167596,22.2150915746439,22.2030533215047,17.9083130227581,18.0428544550526,2020-02-12
2021,7,32.8187636654857,20.5299753405957,20.5704111510741,14.7664932815396,14.7469924073178,2021-02-12
2022,7,58.1812663439759,20.3067909440911,20.3280059547536,13.323463117416,13.3887451980969,2022-02-12
2023,7,42.5441880976841,20.834154445993,20.8204985332211,13.5789274821824,13.6725928415015,2023-02-12
2024,7,12.5936036311503,22.5636152234091,22.5407678948895,17.127130722513,17.0601496710374,2024-02-12
2025,7,81.7803816781447,20.0944878047131,20.1234956163012,14.7326970072599,14.7593732728207,2025-02-12
2010,8,18.5302195521207,21.8153413933846,21.8255067942094,14.4277027341437,14.5176926243062,2010-02-19
2011,8,68.7631201424335,19.7842297554016,19.8049947777573,16.1565663473947,16.0504010731555,2011-02-19
2012,8,2.04547705177663,19.6221326252462,19.6598754457413,15.8085275182919,15.9759840395291,2012-02-19
2013,8,30.8849279387004,21.0509081832174,21.0258716466476,15.1202103389595,15.2270048505711,2013-02-19
2014,8,56.0935016606361,20.0095105741184,20.0390012424124,12.4505162072251,12.5384367242151,2014-02-19
2015,8,6.76314250755588,20.6617741682092,20.6796559175319,16.7067344529288,16.7669537811168,2015-02-19
2016,8,15.4225420260221,21.6421134993217,21.641740918507,13.6564432219236,13.6601156270886,2016-02-19
2017,8,3.51898093612827,20.1048564855281,20.1289578721405,16.8020364786376,16.8262410497526,2017-02-19
2018,8,28.5651788398754,19.843744561554,19.8671562205946,17.1346436672934,16.8581996005756,2018-02-19
2019,8,72.4620296246109,20.8550436281254,20.8465749223448,15.5757894418677,15.6536569845572,2019-02-19
2020,8,42.8307586734566,21.5176216381284,21.5364085161304,13.5001247631218,13.6101243530696,2020-02-19
2021,8,65.3427386402041,21.0160306007452,21.0327097055863,16.5378215778673,16.3702099274616,2021-02-19
2022,8,77.0769090735878,20.4680571875836,20.4857592429781,15.3330861694959,15.283121841642,2022-02-19
2023,8,51.3552076385598,20.5979508644638,20.5713623188675,14.0130319567533,14.2748782794608,2023-02-19
2024,8,26.3476611653848,21.5201414430802,21.5800926914716,17.3087881494194,17.2930389687897,2024-02-19
2025,8,41.5435805049652,20.4982631088346,20.5035233650541,14.5755748804387,14.6191181510948,2025-02-19
2010,9,58.3296590727203,21.5574822912411,21.557830321198,15.2121160273649,15.2897245876991,2010-02-26
2011,9,68.446101858734,19.6204955570899,19.6392442811682,16.086258052737,16.0329138377665,2011-02-26
2012,9,26.2446740160183,19.8846917458248,19.8989315686351,16.1886544575149,16.1920529968885,2012-02-26
2013,9,36.2824801293476,20.9404560567339,20.9340006186038,13.3278631037943,13.4038132828804,2013-02-26
2014,9,68.0603900803769,19.8929198782229,19.9282484207487,14.089156584559,14.0134305425705,2014-02-26
2015,9,30.7624050229353,20.5991379234603,20.6018167223249,15.554987853192,15.565792564748,2015-02-26
2016,9,31.9391400483885,21.5741812925645,21.6172150870454,13.0199022265287,13.0994005342267,2016-02-26
2017,9,40.3734187732285,20.2026781257318,20.2283058972817,15.9372238167521,15.9301091116302,2017-02-26
2018,9,0.901586108235507,20.4272261500011,20.4480687814273,18.0787110704027,17.9449134415162,2018-02-26
2019,9,20.84402172489,20.7562640470944,20.7489245695553,16.0504955647638,15.9195771995856,2019-02-26
2020,9,34.4980521942367,21.1355871612059,21.143733797546,15.2167950496729,15.2141220451444,2020-02-26
2021,9,35.0045220692026,20.6364932213163,20.6382630656829,14.8753809887188,14.8095594467297,2021-02-26
2022,9,55.6509742681209,19.8478466484359,19.8605191241895,13.6138903642882,13.6412745801075,2022-02-26
2023,9,20.5992694450189,21.0528693463295,21.033946409865,14.53155538014,14.6178603714479,2023-02-26
2024,9,23.1481633346213,21.1934302360601,21.2206063201059,14.9231111899062,14.9511364959072,2024-02-26
2025,9,56.2377466408226,20.5694378138284,20.5913991761277,15.0378260098115,14.9587428284804,2025-02-26
2010,10,33.9151263904294,22.2539130703006,22.2381173236725,14.6529466904287,14.6872641616243,2010-03-05
2011,10,34.7659474576527,19.4180423733792,19.4465052574091,15.5304041492696,15.5107155986152,2011-03-05
2012,10,51.6510621736766,20.2765347658719,20.2414012553045,15.4142465049254,15.4185878319921,2012-03-04
2013,10,35.7491613577823,21.3435652902453,21.333032677542,15.302578078067,15.3480195234538,2013-03-05
2014,10,47.9300969640993,19.7251749886716,19.7627681128833,13.7917785185767,13.828778722891,2014-03-05
