-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  3.275   longitude -77.475 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 79.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,ALLSKY_SFC_SW_DWN
2024,1,26.79,16.6
2024,2,27.09,15.73
2024,3,27.01,17.2
2024,4,26.49,16.15
2024,5,26.89,21.72
2024,6,27.36,21.79
2024,7,27.62,13.21
2024,8,27.61,17.05
2024,9,27.08,14.81
2024,10,27.05,12.28
2024,11,26.84,15.09
2024,12,26.48,10.54
2024,13,26.85,21.35
2024,14,27.57,19.49
2024,15,27.65,17.63
2024,16,28.14,17.1
2024,17,28.16,16.8
2024,18,27.78,15.96
2024,19,27.68,14.19
2024,20,27.29,9.32
2024,21,27.42,11.98
2024,22,28.1,17.06
2024,23,28.39,20.46
2024,24,28.42,19.22
2024,25,28.24,17.94
2024,26,27.17,9.81
2024,27,27.29,19.06
2024,28,27.64,14.32
2024,29,27.95,15.3
2024,30,28.22,15.15
2024,31,27.63,17.41
2024,32,27.03,15.88
2024,33,26.55,6.04
2024,34,26.53,20.76
2024,35,27.13,18.97
2024,36,26.4,10.54
2024,37,27.17,7.1
2024,38,27.22,22.01
2024,39,27.48,17.77
2024,40,27.55,17.31
2024,41,27.35,15.26
2024,42,27.21,14.14
2024,43,27.08,22.09
2024,44,27.45,19.61
2024,45,28.01,21.43
2024,46,28.19,18.96
2024,47,28.23,18.8
2024,48,27.53,14.24
2024,49,26.45,16.51
2024,50,27.27,3.94
2024,51,27.17,15.25
2024,52,27.02,11.31
2024,53,26.99,24.27
2024,54,27.12,23.7
2024,55,27.24,18.54
2024,56,27.24,23.32
2024,57,27.1,13.63
2024,58,27.64,19.88
2024,59,27.36,17.43
2024,60,26.65,14.06
2024,61,26.05,8.7
2024,62,26.06,19.77
2024,63,26.27,18.19
2024,64,26.61,21.9
2024,65,26.74,21.71
2024,66,26.79,20.78
2024,67,26.63,16.5
2024,68,26.32,14.73
2024,69,26.77,16.63
2024,70,27.1,15.96
2024,71,27.37,12.54
2024,72,27.12,21.99
2024,73,27.04,17.71
2024,74,26.86,19.69
2024,75,26.79,17.69
2024,76,26.95,14.18
2024,77,26.8,19.88
2024,78,26.88,20.48
2024,79,26.8,12.09
2024,80,26.59,19.07
2024,81,26.55,17.87
2024,82,26.22,12.52
2024,83,26.5,16.88
2024,84,27.04,21.31
2024,85,26.97,10.36
2024,86,27.19,21.85
2024,87,27.05,14.23
2024,88,27.33,23.53
2024,89,27.12,14.45
2024,90,26.96,15.11
2024,91,26.62,13.12
2024,92,27.1,15.61
2024,93,26.13,12.32
2024,94,26.54,19.19
2024,95,25.95,17.51
2024,96,27.0,22.48
2024,97,27.57,20.37
2024,98,27.73,14.59
2024,99,27.34,16.64
2024,100,27.25,19.9
2024,101,27.17,19.4
2024,102,27.53,22.51
2024,103,27.75,14.76
2024,104,27.22,14.58
