-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 02/20/2024 through 03/20/2024 in LST
Location: latitude  3.525   longitude -76.525 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2112.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,ALLSKY_SFC_SW_DWN
2024,51,18.78,17.51
2024,52,15.77,12.79
2024,53,16.87,20.27
2024,54,17.82,21.91
2024,55,17.27,18.52
2024,56,16.9,18.46
2024,57,17.01,14.34
2024,58,17.31,17.32
2024,59,18.18,16.16
2024,60,17.81,14.21
2024,61,16.79,12.26
2024,62,16.57,14.91
2024,63,17.0,12.84
2024,64,16.98,16.05
2024,65,17.85,16.33
2024,66,18.5,15.1
2024,67,19.0,15.02
2024,68,18.62,12.97
2024,69,18.87,13.35
2024,70,19.27,15.04
2024,71,19.18,12.09
2024,72,18.97,16.89
2024,73,19.35,16.21
2024,74,19.36,14.48
2024,75,18.79,15.33
2024,76,19.33,16.49
2024,77,19.09,17.96
2024,78,18.75,17.17
2024,79,18.66,15.4
2024,80,18.32,15.05
