"anio","variable","periodo","metodo","RMSE","MAE","correlacion"
2010,"radiacion","S01_S52","near",1.01083158702131,0.795485707769367,0.669825472331183
2011,"radiacion","S01_S52","near",0.725554884402242,0.562294911794853,0.845323330481884
2012,"radiacion","S01_S52","near",0.386991542180925,0.302918589013255,0.938172115165312
2013,"radiacion","S01_S52","near",0.482049711381483,0.384522067175971,0.918150492413991
2014,"radiacion","S01_S52","near",0.775920425547525,0.613283189952883,0.782743836916213
2015,"radiacion","S01_S52","bilinear",1.00383965349467,0.812026690893363,0.707513457023986
2016,"radiacion","S01_S52","near",0.912307088134102,0.695935858620538,0.725601389714386
2017,"radiacion","S01_S52","near",0.554908233559252,0.442617584157873,0.917449686311598
2018,"radiacion","S01_S52","near",0.072711865787108,0.00996082257001828,0.998449084055956
2019,"radiacion","S01_S52","near",0.426903240243008,0.330994883833448,0.951333824397946
2020,"radiacion","S01_S52","bilinear",0.845261112238484,0.64451011021932,0.842942790587071
2021,"radiacion","S01_S52","bilinear",1.01253428579152,0.766939479740936,0.714375754368944
2022,"radiacion","S01_S52","bilinear",0.7114521404893,0.560772461089653,0.800959768647518
2023,"radiacion","S01_S52","near",0.550926275953467,0.433491441259357,0.914679995670617
2024,"radiacion","S01_S52","near",0.141312440834048,0.0195874733123345,0.995431474232635
2025,"radiacion","S01_S52","bilinear",0.763842343035253,0.610866302098983,0.79876101936195
2010,"temperatura","S01_S52","bilinear",0.423830125928142,0.343721457267319,0.987952839845285
2011,"temperatura","S01_S52","bilinear",0.34833307356833,0.279147329576981,0.992018897083762
2012,"temperatura","S01_S52","bilinear",0.280945588978099,0.226963426997653,0.994917727403468
2013,"temperatura","S01_S52","bilinear",0.279802041918328,0.226262512002587,0.994516555025593
2014,"temperatura","S01_S52","bilinear",0.327746973040319,0.262180874958014,0.992685366477091
2015,"temperatura","S01_S52","bilinear",0.489190446215388,0.396526588317275,0.983427753195448
2016,"temperatura","S01_S52","bilinear",0.442436309456984,0.346090012660995,0.984992790459619
2017,"temperatura","S01_S52","bilinear",0.28316396573766,0.230158124715654,0.994486231992655
2018,"temperatura","S01_S52","bilinear",0.258034209559884,0.204099350739247,0.9956184188792
2019,"temperatura","S01_S52","bilinear",0.273155546187689,0.220976458070858,0.994894068560462
2020,"temperatura","S01_S52","bilinear",0.347393563203217,0.27606660886791,0.991258352979078
2021,"temperatura","S01_S52","bilinear",0.366581014626574,0.292638077862176,0.990547459191237
2022,"temperatura","S01_S52","bilinear",0.310890378014095,0.250880542949951,0.993080306177402
2023,"temperatura","S01_S52","bilinear",0.292689431599459,0.235708879793126,0.994635748454557
2024,"temperatura","S01_S52","bilinear",0.255881178257004,0.20126703287584,0.995427697266027
2025,"temperatura","S01_S52","bilinear",0.327646069891072,0.262364029132704,0.992295329416323
2010,"radiacion","S02_S52","bilinear",0.970460551333035,0.76257809990112,0.655953834638138
2011,"radiacion","S02_S52","near",0.72521971593681,0.559223407061098,0.846674607384654
2012,"radiacion","S02_S52","near",0.390419530647317,0.306811021736937,0.934874509027933
2013,"radiacion","S02_S52","near",0.484262492563115,0.385405035579906,0.916598749214259
2014,"radiacion","S02_S52","near",0.745192538106917,0.591849885994573,0.800084491159707
2015,"radiacion","S02_S52","bilinear",1.01193706763576,0.820736324778483,0.67820586967327
2016,"radiacion","S02_S52","near",0.912179424285139,0.69167212705813,0.725447679620011
2017,"radiacion","S02_S52","near",0.553805178089199,0.439442428888059,0.91807179046236
2018,"radiacion","S02_S52","near",0,0,1
2019,"radiacion","S02_S52","near",0.428170377466787,0.331146414070434,0.950226478414359
2020,"radiacion","S02_S52","bilinear",0.84742588607758,0.643897721450573,0.838550878125045
2021,"radiacion","S02_S52","bilinear",1.01657278244877,0.768845436966064,0.713844630439478
2022,"radiacion","S02_S52","bilinear",0.690610251565746,0.54513574321805,0.809012924670761
2023,"radiacion","S02_S52","near",0.555769008808593,0.440687196879778,0.912952657697649
2024,"radiacion","S02_S52","near",0,0,1
2025,"radiacion","S02_S52","bilinear",0.763198610140986,0.607416659225652,0.798925454514271
2010,"temperatura","S02_S52","bilinear",0.42550762055344,0.345238360206018,0.987863816437496
2011,"temperatura","S02_S52","bilinear",0.349817304906284,0.28027034825123,0.991945213274884
2012,"temperatura","S02_S52","bilinear",0.281516816268744,0.227225024077104,0.994905213137422
2013,"temperatura","S02_S52","bilinear",0.280578033240084,0.226707052011959,0.994499150859323
2014,"temperatura","S02_S52","bilinear",0.320428554403238,0.256978185948587,0.993036235770795
2015,"temperatura","S02_S52","bilinear",0.491003990410918,0.398471818327406,0.983230243055701
2016,"temperatura","S02_S52","bilinear",0.434755952396981,0.339495387425265,0.98551894947998
2017,"temperatura","S02_S52","bilinear",0.283461938956496,0.230162947479071,0.994475613202949
2018,"temperatura","S02_S52","bilinear",0.255548317860042,0.202899673214222,0.995704160118323
2019,"temperatura","S02_S52","bilinear",0.273277306604306,0.220985259169821,0.994870674347077
2020,"temperatura","S02_S52","bilinear",0.349162775968408,0.277602728675393,0.991192904568318
2021,"temperatura","S02_S52","bilinear",0.367861353041332,0.293587192620008,0.990460574132598
2022,"temperatura","S02_S52","bilinear",0.311945955081297,0.251756593752658,0.993042162568277
2023,"temperatura","S02_S52","bilinear",0.293298703327896,0.236321917686843,0.994589992560064
2024,"temperatura","S02_S52","bilinear",0.244582697252057,0.194485748668684,0.995866973794712
2025,"temperatura","S02_S52","bilinear",0.325451151719215,0.260916554019674,0.992423578109149
