"anio","variable","periodo","n","ME","MAE","RMSE","correlacion","max_abs","coincidencias_1e_4","pct_coincidencia"
2010,"temperatura","S01_S52",6344,0.00133044888062255,0.343721457267319,0.423830125928142,0.987952839845285,1.33776092529297,1,0.0157629255989912
2010,"temperatura","S02_S52",6222,-0.00268691515700298,0.345238360206018,0.42550762055344,0.987863816437496,1.33776092529297,1,0.0160720025715204
2010,"radiacion","S01_S52",1404,-0.00198886808846411,0.795485707769367,1.01083158702131,0.669825472331183,3.56571388244629,0,0
2010,"radiacion","S02_S52",1377,0.0387751205987314,0.770280480644542,0.977440764752702,0.663748897219605,3.56571388244629,0,0
2011,"temperatura","S01_S52",6344,-0.000185566170970248,0.279147329576981,0.34833307356833,0.992018897083762,1.03072357177734,0,0
2011,"temperatura","S02_S52",6222,0.000598594330775704,0.28027034825123,0.349817304906284,0.991945213274884,1.03072357177734,0,0
2011,"radiacion","S01_S52",1404,0.00218495140727769,0.562294911794853,0.725554884402242,0.845323330481884,2.93142890930176,0,0
2011,"radiacion","S02_S52",1377,0.0163246887528386,0.559223407061098,0.72521971593681,0.846674607384654,2.93142890930176,0,0
2012,"temperatura","S01_S52",6344,0.0058939786155768,0.226963426997653,0.280945588978099,0.994917727403468,0.849292755126953,1,0.0157629255989912
2012,"temperatura","S02_S52",6222,0.00763658556053777,0.227225024077104,0.281516816268744,0.994905213137422,0.849292755126953,1,0.0160720025715204
2012,"radiacion","S01_S52",1404,0.0109212065693999,0.302918589013255,0.386991542180925,0.938172115165312,1.83142852783203,0,0
2012,"radiacion","S02_S52",1377,0.0112720245715926,0.306811021736937,0.390419530647317,0.934874509027933,1.83142852783203,0,0
2013,"temperatura","S01_S52",6344,0.00492408777696338,0.226262512002587,0.279802041918328,0.994516555025593,0.846254348754883,3,0.0472887767969735
2013,"temperatura","S02_S52",6222,0.00527406512867098,0.226707052011959,0.280578033240084,0.994499150859323,0.846254348754883,3,0.0482160077145612
2013,"radiacion","S01_S52",1404,-0.00282898112240001,0.384522067175971,0.482049711381483,0.918150492413991,2.16714286804199,0,0
2013,"radiacion","S02_S52",1377,0.0037722286315785,0.385405035579906,0.484262492563115,0.916598749214259,2.16714286804199,0,0
2014,"temperatura","S01_S52",6344,0.00458402982425569,0.262180874958014,0.327746973040319,0.992685366477091,1.0638370513916,1,0.0157629255989912
2014,"temperatura","S02_S52",6222,-0.00566957771720629,0.256978185948587,0.320428554403238,0.993036235770795,1.02702903747559,1,0.0160720025715204
2014,"radiacion","S01_S52",1404,0.00249147279310091,0.613283189952883,0.775920425547525,0.782743836916213,2.85857105255127,0,0
2014,"radiacion","S02_S52",1377,-0.0309181393448131,0.591849885994573,0.745192538106917,0.800084491159707,2.85857105255127,0,0
2015,"temperatura","S01_S52",6344,0.000502149514562695,0.396526588317275,0.489190446215388,0.983427753195448,1.45502662658691,0,0
2015,"temperatura","S02_S52",6222,-0.00494298426064982,0.398471818327406,0.491003990410918,0.983230243055701,1.45502662658691,0,0
2015,"radiacion","S01_S52",1404,0.00106876528161204,0.79944573304592,1.00409214503742,0.71734077800693,3.68714237213135,0,0
2015,"radiacion","S02_S52",1377,0.00540994230005822,0.810378154984573,1.0132645094042,0.690505064841014,3.68714237213135,0,0
2016,"temperatura","S01_S52",6344,-0.00162036797738767,0.346090012660995,0.442436309456984,0.984992790459619,1.62561225891113,3,0.0472887767969735
2016,"temperatura","S02_S52",6222,0.0117285640168443,0.339495387425265,0.434755952396981,0.98551894947998,1.62561225891113,3,0.0482160077145612
2016,"radiacion","S01_S52",1404,0.0020719749635441,0.695935858620538,0.912307088134102,0.725601389714386,3.59857082366943,0,0
2016,"radiacion","S02_S52",1377,0.0200221346354433,0.69167212705813,0.912179424285139,0.725447679620011,3.59857082366943,0,0
2017,"temperatura","S01_S52",6344,-0.00299364516293116,0.230158124715654,0.28316396573766,0.994486231992655,0.827329635620117,1,0.0157629255989912
2017,"temperatura","S02_S52",6222,-0.001587782056337,0.230162947479071,0.283461938956496,0.994475613202949,0.827329635620117,1,0.0160720025715204
2017,"radiacion","S01_S52",1404,0.00130106920530314,0.442617584157873,0.554908233559252,0.917449686311598,2.12857151031494,0,0
2017,"radiacion","S02_S52",1377,0.0131805117959637,0.439442428888059,0.553805178089199,0.91807179046236,2.12857151031494,0,0
2018,"temperatura","S01_S52",6344,0.00789321461060609,0.204099350739247,0.258034209559884,0.9956184188792,0.771270751953125,1071,16.8820933165195
2018,"temperatura","S02_S52",6222,0.00371580421254015,0.202899673214222,0.255548317860042,0.995704160118323,0.608505249023438,1071,17.2131147540984
2018,"radiacion","S01_S52",1404,0.00996082257001828,0.00996082257001828,0.072711865787108,0.998449084055956,0.56678581237793,1377,98.0769230769231
2018,"radiacion","S02_S52",1377,0,0,0,1,0,1377,100
2019,"temperatura","S01_S52",6344,0.00186529751834172,0.220976458070858,0.273155546187689,0.994894068560462,0.781675338745117,0,0
2019,"temperatura","S02_S52",6222,0.00260309849625345,0.220985259169821,0.273277306604306,0.994870674347077,0.781675338745117,0,0
2019,"radiacion","S01_S52",1404,-0.00516152789450099,0.330994883833448,0.426903240243008,0.951333824397946,1.96857070922852,0,0
2019,"radiacion","S02_S52",1377,-0.010445064275959,0.331146414070434,0.428170377466787,0.950226478414359,1.96857070922852,0,0
2020,"temperatura","S01_S52",6344,0.00424728252247333,0.27606660886791,0.347393563203217,0.991258352979078,1.21539878845215,1,0.0157629255989912
2020,"temperatura","S02_S52",6222,0.00412308859388302,0.277602728675393,0.349162775968408,0.991192904568318,1.21539878845215,1,0.0160720025715204
2020,"radiacion","S01_S52",1404,0.0132024892714628,0.640771898448977,0.847042308328416,0.845596877886103,4.09714221954346,20,1.42450142450142
2020,"radiacion","S02_S52",1377,0.0255285767255352,0.641268838205109,0.850451653836112,0.840924427321988,4.09714221954346,20,1.45243282498184
2021,"temperatura","S01_S52",6344,0.00427054276532514,0.292638077862176,0.366581014626574,0.990547459191237,1.27285003662109,0,0
2021,"temperatura","S02_S52",6222,0.00501222313120985,0.293587192620008,0.367861353041332,0.990460574132598,1.27285003662109,0,0
2021,"radiacion","S01_S52",1404,-0.00152890295044989,0.778376215203875,1.0196460407808,0.71800310544197,3.4042854309082,0,0
2021,"radiacion","S02_S52",1377,-0.0144844969373383,0.780712878435699,1.02423247871594,0.717191577445421,3.4042854309082,0,0
2022,"temperatura","S01_S52",6344,-0.00370610647213564,0.250880542949951,0.310890378014095,0.993080306177402,1.01384925842285,1,0.0157629255989912
2022,"temperatura","S02_S52",6222,-0.00399867593954706,0.251756593752658,0.311945955081297,0.993042162568277,1.01384925842285,1,0.0160720025715204
2022,"radiacion","S01_S52",1404,-0.0137856244361638,0.571890969561715,0.719274444144454,0.805120552738799,3.06571388244629,0,0
2022,"radiacion","S02_S52",1377,-0.0433795072933687,0.553780941488783,0.693516579189571,0.813954458793314,3.06571388244629,0,0
2023,"temperatura","S01_S52",6344,0.00608727129230283,0.235708879793126,0.292689431599459,0.994635748454557,0.870759963989258,0,0
2023,"temperatura","S02_S52",6222,0.00581664573107836,0.236321917686843,0.293298703327896,0.994589992560064,0.870759963989258,0,0
2023,"radiacion","S01_S52",1404,0.00512056472973946,0.433491441259357,0.550926275953467,0.914679995670617,2.07857036590576,0,0
2023,"radiacion","S02_S52",1377,0.00652504452086915,0.440687196879778,0.555769008808593,0.912952657697649,2.07857036590576,0,0
2024,"temperatura","S01_S52",6344,-0.00582418074974647,0.20126703287584,0.255881178257004,0.995427697266027,0.886777877807617,1071,16.8820933165195
2024,"temperatura","S02_S52",6222,0.00478931624419587,0.194485748668684,0.244582697252057,0.995866973794712,0.595447540283203,1071,17.2131147540984
2024,"radiacion","S01_S52",1404,-0.0195874733123345,0.0195874733123345,0.141312440834048,0.995431474232635,1.03635025024414,1377,98.0769230769231
2024,"radiacion","S02_S52",1377,0,0,0,1,0,1377,100
2025,"temperatura","S01_S52",6344,0.00399194539420091,0.262364029132704,0.327646069891072,0.992295329416323,0.983697891235352,2,0.0315258511979823
