"anio","dias_temperatura","dias_radiacion","fecha_inicio","fecha_fin","dias_esperados","serie_completa","dias_fuera_de_52_bloques"
2010,365,365,"2010-01-01","2010-12-31",365,TRUE,1
2011,365,365,"2011-01-01","2011-12-31",365,TRUE,1
2012,366,366,"2012-01-01","2012-12-31",366,TRUE,2
2013,365,365,"2013-01-01","2013-12-31",365,TRUE,1
2014,365,365,"2014-01-01","2014-12-31",365,TRUE,1
2015,365,365,"2015-01-01","2015-12-31",365,TRUE,1
2016,366,366,"2016-01-01","2016-12-31",366,TRUE,2
2017,365,365,"2017-01-01","2017-12-31",365,TRUE,1
2018,365,365,"2018-01-01","2018-12-31",365,TRUE,1
2019,365,365,"2019-01-01","2019-12-31",365,TRUE,1
2020,366,366,"2020-01-01","2020-12-31",366,TRUE,2
2021,365,365,"2021-01-01","2021-12-31",365,TRUE,1
2022,365,365,"2022-01-01","2022-12-31",365,TRUE,1
2023,365,365,"2023-01-01","2023-12-31",365,TRUE,1
2024,366,366,"2024-01-01","2024-12-31",366,TRUE,2
2025,365,365,"2025-01-01","2025-12-31",365,TRUE,1
