"anio","semana","escala","modelo","formula","vif_max","colineal","n","MAE","RMSE","sesgo","R2"
2011,1,"original","M0",".respuesta ~ 1",NA,FALSE,686,75.9030838414046,98.0787002545256,2.2926024538464e-14,-0.00292183920294109
2011,1,"original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,FALSE,686,42.1012992951577,56.6374797521839,-0.0211752559770143,0.665554370926406
2011,1,"original","Malt",".respuesta ~ altitud_m",1,FALSE,686,55.9428709759707,72.4716881015153,-0.0861561081726861,0.45241134759343
2011,1,"original","MT",".respuesta ~ temperatura_bilineal_c",1,FALSE,686,38.5674865245261,54.2144006933804,-0.019523804129382,0.693558903846215
2011,1,"original","MR",".respuesta ~ radiacion_bilineal_mj_m2_dia",1,FALSE,686,76.0072773998851,98.2043393527047,0.0483852891106459,-0.00549297650889002
2011,1,"original","MTR",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",1.07892251651491,FALSE,686,33.7431033325265,48.6228966347096,0.00396205268680946,0.753509980022131
2011,1,"original","MTA",".respuesta ~ temperatura_bilineal_c + altitud_m",1.86950094220962,FALSE,686,37.4807480185614,52.3308252941348,-0.0300122596669039,0.714482420987691
2011,1,"original","MRA",".respuesta ~ radiacion_bilineal_mj_m2_dia + altitud_m",1.1007462100225,FALSE,686,53.9946850443361,69.0852737396966,-0.103544832873572,0.502390514763097
2011,1,"original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.92360116804866,FALSE,686,29.3471958458573,44.9287083934434,-0.0100747384079993,0.789541945200138
2011,1,"original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,FALSE,686,41.4906536494158,55.5454053600924,-0.0245093482863959,0.678327476832974
2011,1,"original","Mxy_T",".respuesta ~ x_km + y_km + temperatura_bilineal_c",37.3091070537532,TRUE,686,38.6153238765939,52.6405127909185,-0.0226005816989075,0.711093104771449
2011,1,"original","Mxy_R",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia",1.92164676333728,FALSE,686,32.8002104914411,49.2207314255362,0.00830667238447824,0.747411362211852
2011,1,"original","Mxy_TR",".respuesta ~ x_km + y_km + temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia",50.9261845197539,TRUE,686,32.7256620637588,48.4167680133677,0.0249582111966239,0.755595456377006
2011,1,"original","Mxy_TA",".respuesta ~ x_km + y_km + temperatura_bilineal_c + altitud_m",54.8200241957535,TRUE,686,33.64137921048,47.8292312156796,-0.0343038800737908,0.761491157268098
