"anio","semana","n_celdas","estado","escala","modelo","formula","vif_max","MAE","RMSE","sesgo","R2","moran_I","moran_p","familia","nugget","psill","range_km","SSE","tipo_kriging","RMSE_mcg_kriging","MAE_mcg_kriging","sesgo_mcg_kriging","R2_predictivo_mcg_kriging","n_validacion_kriging","cobertura95_escala","validacion"
2011,1,686,"FINAL_KRIGING","original","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",1.92360116804866,29.3471958458573,44.9287083934434,-0.0100747384079993,0.789541945200138,0.719006064641226,0.005,"exponencial",376.876934831368,2300.62912731765,74.7952306310554,99023.8661414027,"universal",23.5370844357534,14.1040329316856,-0.0163329829744534,0.942240554508428,686,0.925655976676385,"LOO_condicional_covarianza_fija"
2012,1,686,"FINAL_KRIGING","raiz","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.49153103832385,29.3540084732447,53.0000164989079,-4.1955422956415,0.708709946598059,0.82952761215738,0.005,"exponencial",0,4.53410067614215,29.0610176481588,0.366084456255452,"universal",19.4847305569829,9.54831581641634,-0.529859818785577,0.960630268340704,686,0.959183673469388,"LOO_condicional_covarianza_fija"
2013,1,686,"FINAL_KRIGING","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,9.12709761086579,17.0252237125508,-4.063578312252,0.647159581036195,0.821228430417255,0.005,"esferico",0.129511310718935,4.02422476738883,68.3493614869032,0.442590241586656,"universal",5.42651468158543,2.65818306458973,-0.560557702028176,0.964154500281887,686,0.93002915451895,"LOO_condicional_covarianza_fija"
2014,1,686,"FINAL_KRIGING","original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,9.34902516357808,13.4169645067181,-0.0126279317161232,0.409492965248939,0.877662131612787,0.005,"esferico",4.50448344594756,182.591975568663,76.0709083131269,336.458665870939,"universal",3.83938265530441,2.0236641184599,0.00657658813814437,0.951645228967817,686,0.951895043731778,"LOO_condicional_covarianza_fija"
2015,1,686,"FINAL_KRIGING","original","Mxy",".respuesta ~ x_km + y_km",1.3544415662,2.64711156805192,3.65694303581815,-0.00345082877971931,0.421015402334085,0.792369253688259,0.005,"esferico",1.03398767005801,16.1990335080998,119.682561082714,3.47163446360535,"universal",1.54829390650001,0.53309351790952,-0.0137689950250027,0.896214321466886,686,0.947521865889213,"LOO_condicional_covarianza_fija"
2016,1,686,"FINAL_KRIGING","raiz","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",2.54020287144912,13.2137388267694,17.6087582341781,-1.55969551249792,0.611772161938537,0.789596832854738,0.005,"exponencial",0.108462577360776,1.98695341660713,47.7963769322427,0.0124968860165641,"universal",6.76514869695275,5.04889749886347,-0.352179995336469,0.942696136241515,686,0.966472303206997,"LOO_condicional_covarianza_fija"
2017,1,686,"FINAL_KRIGING","original","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,23.0510711779032,31.517787175563,-0.0444309547094305,0.271976730629956,0.788874766180265,0.005,"esferico",114.78948987326,1015.73871111599,75.1225967828927,69892.5921367074,"universal",13.7456179049394,9.17182732738238,0.00142996799817927,0.861527874604735,686,0.948979591836735,"LOO_condicional_covarianza_fija"
2018,1,686,"FINAL_KRIGING","original","Mxy_RA",".respuesta ~ x_km + y_km + radiacion_bilineal_mj_m2_dia + altitud_m",3.07121161187562,22.8577251388414,30.015342291636,-0.000864562667647334,0.532441895619362,0.875543502588762,0.005,"esferico",47.4824485284627,1037.0456238617,106.357643632487,1584.49411163697,"universal",9.44581432762692,6.7494955778874,-0.0051226984981647,0.953695009691926,686,0.965014577259475,"LOO_condicional_covarianza_fija"
2019,1,686,"FINAL_KRIGING","raiz","MTRA",".respuesta ~ temperatura_bilineal_c + radiacion_bilineal_mj_m2_dia +      altitud_m",3.41699493055683,15.2838056911119,18.9664993463028,-1.24054246904078,0.710840761099617,0.800338854414824,0.005,"esferico",0.0175719436986693,1.23364409669113,50.4256807578947,0.282404398579982,"universal",7.87487324055335,5.86314910883359,-0.195925468508762,0.950151756948372,686,0.916909620991254,"LOO_condicional_covarianza_fija"
2020,1,686,"FINAL_KRIGING","raiz","Mxy_alt",".respuesta ~ x_km + y_km + altitud_m",3.06984852824171,7.75693360198772,11.0409975833549,-2.72235428799221,0.605153585406423,0.648024301077918,0.005,"esferico",0.427026166067277,2.26142342906026,36.2859743397127,0.0898534819046183,"universal",4.98047278540827,3.18252968642023,-0.957787373475106,0.919656136508532,686,0.938775510204082,"LOO_condicional_covarianza_fija"
