"modelo_medio_ganador","cortes","porcentaje","MAE_medio_MCO","RMSE_medio_MCO","MAE_medio_kriging","RMSE_medio_kriging","mejora_RMSE_media_mm"
"MTRA",179,23.2769830949285,15.0518330882842,20.5138038831784,5.35400101767465,8.07931997675396,12.4344839064245
"Mxy_RA",150,19.5058517555267,14.5674300093988,19.8290240396706,5.06197280398921,7.63291515473548,12.1961088849352
"Mxy_alt",120,15.6046814044213,12.3768477301802,17.6671468457505,4.14927099194151,6.49916072612386,11.1679861196267
"Mxy_R",86,11.1833550065019,13.3379591500522,18.0133306677521,4.87003548553773,7.44819611800994,10.5651345497421
"Mxy",70,9.10273081924577,12.4405158569722,17.1818793384328,4.2700420181838,6.51414841044171,10.667730927991
"MTA",61,7.93237971391417,12.9088770781363,18.3364355371051,4.31380317818997,6.57910292437322,11.7573326127319
"MTR",45,5.851755526658,15.4031063363862,20.5210621509307,5.43082810145044,7.96439923368341,12.5566629172473
"MT",28,3.64109232769831,17.4344449727381,23.2284027479993,6.28568856909062,9.44374488246266,13.7846578655366
"MRA",19,2.47074122236671,17.502039548183,23.8091725288845,5.65941487630025,8.45141058206064,15.3577619468238
"MR",10,1.30039011703511,15.1426927284205,20.8910708017183,5.26267014306464,7.96535979344041,12.9257110082779
"M0",1,0.130039011703511,4.45077265109713,5.70030163607072,2.32996491771193,3.80256244995206,1.89773918611866
